Date,Ticker,% Return,High,Low,Open,Close,High %,Low %
28/02/2014,CCG,-0.008383234,8.36,8.14,8.35,8.28,0.001197605,-0.025149701
28/02/2014,RNDY,-0.003246753,6.2,5.92,6.16,6.14,0.006493506,-0.038961039
28/02/2014,CIR,-0.001256162,73.739998,70.769997,71.650002,71.559998,0.029169518,-0.012281995
28/02/2014,CHS,0.002425773,16.719999,16.27,16.49,16.530001,0.013947787,-0.013341419
28/02/2014,SFY,0.015228426,10.32,9.75,9.85,10,0.047715736,-0.010152284
03/03/2014,NMBL,-0.027397239,47.73,46.009998,47.450001,46.150002,0.005900927,-0.030347797
03/03/2014,PRO,-0.019705824,34.259998,31.799999,34,33.330002,0.007647,-0.064705912
03/03/2014,KBR,-0.002568807,27.530001,26.959999,27.25,27.18,0.010275266,-0.010642239
03/03/2014,PBYI,0.02333512,114.660004,109.860001,111.419998,114.019997,0.029079214,-0.01400105
03/03/2014,YUME,0.0368,6.56,6.1,6.25,6.48,0.0496,-0.024
04/03/2014,HSC,-0.031780541,23.139999,22.23,22.969999,22.24,0.007400958,-0.032215892
04/03/2014,LXFT,0.032394763,35,33.029999,33.029999,34.099998,0.059642781,0
04/03/2014,NUS,0.036783139,78.779999,75.559998,75.849998,78.639999,0.038628887,-0.003823336
04/03/2014,EPAM,0.054705217,38.43,34.799999,35.279999,37.209999,0.089285745,-0.013605443
05/03/2014,HGG,-0.050658561,9.94,9.31,9.87,9.37,0.007092199,-0.056737589
05/03/2014,MDR,-0.005398111,7.42,7.28,7.41,7.37,0.001349528,-0.01754386
05/03/2014,RSH,0,45.22,45.22,45.22,45.22,0,0
06/03/2014,HCI,-0.05481484,41.16,38.110001,40.5,38.279999,0.016296296,-0.059012321
06/03/2014,HOV,-0.042201835,5.46,5.2,5.45,5.22,0.001834862,-0.04587156
06/03/2014,VEEV,-0.023235857,35.73,33.779999,34.860001,34.049999,0.024956941,-0.030981124
07/03/2014,CPA,-0.008524025,127.040001,125.559998,126.699997,125.620003,0.002683536,-0.008997625
10/03/2014,FRM,-0.028901734,10.38,9.8,10.38,10.08,0,-0.055876686
10/03/2014,BITA,-0.015033747,38.580002,36.650002,38.580002,38,0,-0.050025918
10/03/2014,SSP,0.007127083,18.379995,17.959995,18.24,18.369998,0.007675164,-0.015351151
11/03/2014,WLT,-0.066596195,9.55,8.63,9.46,8.83,0.009513742,-0.087737844
11/03/2014,CUDA,-0.054046973,39.279999,35.700001,38.299999,36.23,0.025587468,-0.067885067
11/03/2014,DANG,-0.043042396,17.5,15.88,16.959999,16.23,0.031839683,-0.06367919
11/03/2014,WUBA,-0.014299209,56.290001,52.18,53.150002,52.389999,0.05907806,-0.018250272
11/03/2014,CCM,0.018285714,9,8.57,8.75,8.91,0.028571429,-0.020571429
12/03/2014,BPI,-0.030264817,15.86,15.24,15.86,15.38,0,-0.039092055
12/03/2014,DL,-0.027621768,21.41,20.09,21.360001,20.77,0.002340777,-0.059456973
12/03/2014,NES,0.019028871,16.32,15.12,15.24,15.53,0.070866142,-0.007874016
13/03/2014,CCM,-0.074074074,8.38,7.36,8.1,7.5,0.034567901,-0.091358025
13/03/2014,TAOM,-0.025411061,7.24,6.51,6.69,6.52,0.082212257,-0.02690583
13/03/2014,EXPR,0.003146633,16.17,15.75,15.89,15.94,0.017621145,-0.008810573
14/03/2014,HELI,-0.082174463,7.91,6.91,7.91,7.26,0,-0.12642225
14/03/2014,AMRC,-0.063511831,8.14,7.5,8.03,7.52,0.01369863,-0.066002491
14/03/2014,MEI,-0.01856684,31.18,29.75,30.700001,30.129999,0.015635146,-0.030944657
17/03/2014,ARO,-0.036020583,5.84,5.51,5.83,5.62,0.001715266,-0.054888508
17/03/2014,AMRC,-0.014492754,7.85,7.41,7.59,7.48,0.034255599,-0.023715415
17/03/2014,XOXO,-0.012232416,10,9.44,9.81,9.69,0.019367992,-0.037716616
17/03/2014,NTL,-0.004100762,17.200001,16.9,17.07,17,0.007615759,-0.009958992
18/03/2014,GTN,0.029882604,9.71,9.11,9.37,9.65,0.036286019,-0.027748132
19/03/2014,CSLT,-0.090384086,34.630001,30.35,34.630001,31.5,0,-0.123592286
19/03/2014,YGE,-0.007407407,5.55,5.34,5.4,5.36,0.027777778,-0.011111111
19/03/2014,GNE,-0.005994006,10.09,9.81,10.01,9.95,0.007992008,-0.01998002
19/03/2014,SCX,0.031572165,16.07,15.34,15.52,16.01,0.035438144,-0.011597938
20/03/2014,OWW,-0.001237624,8.26,8.05,8.08,8.07,0.022277228,-0.003712871
20/03/2014,COUP,0.011808118,28,26.83,27.1,27.42,0.033210332,-0.0099631
20/03/2014,BIOA,0.027777778,12.4,11.87,11.88,12.21,0.043771044,-0.000841751
21/03/2014,SFUN,-0.043710959,79.770002,73.330002,78.470001,75.040002,0.016566853,-0.065502726
21/03/2014,WLT,0.029850746,7.78,7.25,7.37,7.59,0.055630936,-0.016282225
21/03/2014,CATO,0.064048799,27.950001,26.01,26.23,27.91,0.065573809,-0.008387343
24/03/2014,NMBL,-0.084528661,39.060001,35.439999,39.040001,35.740002,0.000512295,-0.092213164
24/03/2014,CSLT,-0.070408163,29.4,26.389999,29.4,27.33,0,-0.102380986
24/03/2014,SA,-0.045679012,8.13,7.65,8.1,7.73,0.003703704,-0.055555556
24/03/2014,XON,-0.012138522,28.5,26.76,28.01,27.67,0.017493752,-0.044626919
25/03/2014,HAE,-0.054070113,33.66,31.799999,33.66,31.84,0,-0.055258497
25/03/2014,LCI,-0.014130435,39.299999,36.040001,36.799999,36.279999,0.067934784,-0.02065212
25/03/2014,BIOA,0.008211679,11.21,10.8,10.96,11.05,0.022810219,-0.01459854
25/03/2014,DL,0.012181032,17.59,16.83,17.24,17.450001,0.020301624,-0.023781903
25/03/2014,COUP,0.113705193,26.219999,23.129999,23.129999,25.76,0.133592742,0
26/03/2014,LGF,-0.039865872,27.08,25.629999,26.84,25.77,0.008941878,-0.045082004
26/03/2014,AMBR,-0.007279947,15.5,14.67,15.11,15,0.025810721,-0.029119788
26/03/2014,TEN,0.009134838,57.48,55.369999,55.830002,56.34,0.029553966,-0.008239351
27/03/2014,KING,-0.051794872,19.5,18.25,19.5,18.49,0,-0.064102564
27/03/2014,ONE,-0.032258065,6.96,6.47,6.82,6.6,0.020527859,-0.051319648
27/03/2014,GCA,-0.001488095,6.72,6.54,6.72,6.71,0,-0.026785714
28/03/2014,LDOS,-0.003738884,35.5,34,34.77,34.639999,0.020995111,-0.022145528
28/03/2014,KS,0.029378139,27.25,26.190001,26.209999,26.98,0.039679551,-0.000762991
28/03/2014,BITA,0.102642898,36.130001,32.540001,32.540001,35.880001,0.11032575,0
31/03/2014,CSLT,-0.024816222,22.549999,20.4,21.76,21.219999,0.036305101,-0.0625
31/03/2014,PBYI,-0.001246744,105.779999,97.309998,104.269997,104.139999,0.014481654,-0.066749777
31/03/2014,SHI,0,25.870001,25.67,25.77,25.77,0.00388052,-0.003880481
31/03/2014,RHT,0.013971292,53.669998,52.150002,52.25,52.98,0.027176995,-0.001913837
31/03/2014,XON,0.037080907,26.719999,25.059999,25.35,26.290001,0.054043353,-0.011439882
01/04/2014,HGG,0.023809524,9.99,9.6,9.66,9.89,0.034161491,-0.00621118
01/04/2014,CCSC,0.030494217,9.92,9.51,9.51,9.8,0.043112513,0
02/04/2014,JGW,-0.036898061,16.01,15.25,15.99,15.4,0.001250782,-0.046278924
02/04/2014,COT,-0.003680982,8.15,8.02,8.15,8.12,0,-0.01595092
02/04/2014,MDR,0.005698006,7.08,6.98,7.02,7.06,0.008547009,-0.005698006
02/04/2014,MPO,0.019920319,5.18,5,5.02,5.12,0.03187251,-0.003984064
02/04/2014,AXE,0.030137259,100.290001,95.860001,96.889999,99.809998,0.035091362,-0.010630592
03/04/2014,GIMO,-0.105496753,29.290001,26.07,29.290001,26.200001,0,-0.109935162
03/04/2014,IMPV,-0.027892139,53.419998,51.639999,53.419998,51.93,0,-0.033320836
03/04/2014,UNF,-0.009498639,102.470001,100,102.120003,101.150002,0.003427321,-0.020759919
03/04/2014,ELLI,-0.007518797,26.99,25.99,26.6,26.4,0.014661654,-0.022932331
04/04/2014,NMBL,-0.092832875,35.650002,31.620001,35.439999,32.150002,0.005925593,-0.107787757
04/04/2014,NOW,-0.057297297,55.799999,51.869999,55.5,52.32,0.005405387,-0.065405423
