Date,Ticker,% Return,High,Low,Open,Close,Low %,High %
27/02/2014,EXAM,0.043429245,37.400002,35.25,35.459999,37,-0.005922138,0.054709618
28/02/2014,WDAY,-0.051841646,116.400002,104.440002,115.93,109.919998,-0.099111516,0.004054188
28/02/2014,JCP,-0.048366013,7.65,7.28,7.65,7.28,-0.048366013,0
28/02/2014,NOAH,-0.0348572,18.440001,16.73,17.5,16.889999,-0.044,0.053714343
28/02/2014,DANG,0.053183521,15.08,13.29,13.35,14.06,-0.004494382,0.129588015
03/03/2014,VIPS,-0.015640658,130.489998,121.300001,129.790001,127.76,-0.06541336,0.005393305
03/03/2014,DRQ,0.005074244,109.860001,106.120003,106.419998,106.959999,-0.002818972,0.03232478
03/03/2014,WG,0.015151515,10.21,9.83,9.9,10.05,-0.007070707,0.031313131
03/03/2014,WUBA,0.087003203,50.68,46.290001,46.549999,50.599998,-0.005585349,0.088721828
04/03/2014,JCP,-0.029274005,8.67,8.24,8.54,8.29,-0.035128806,0.015222482
04/03/2014,USM,-0.005791967,39.950001,39.279999,39.709999,39.48,-0.010828507,0.006043868
04/03/2014,LO,0.014503341,56.849998,54.09,54.470001,55.259998,-0.006976335,0.043693721
05/03/2014,LXFT,-0.021936239,35.759998,33.299999,34.189999,33.439999,-0.026031004,0.045919832
05/03/2014,JKS,-0.014112334,36.240002,33.400002,35.43,34.93,-0.05729602,0.022862038
05/03/2014,CRDB,0,315.972,311.111,311.111,311.111,0,0.015624648
05/03/2014,DQ,0.007602339,52,49.82,51.299999,51.689999,-0.028849884,0.013645244
05/03/2014,VIPS,0.034445377,173.850002,165.499992,165.769997,171.480007,-0.001628793,0.048742264
06/03/2014,BBW,-0.011111111,9,8.77,9,8.9,-0.025555556,0
06/03/2014,MPO,0.011538462,5.3,5.08,5.2,5.26,-0.023076923,0.019230769
06/03/2014,SFUN,0.027977946,99.720001,94.34,94.359999,96.999998,-0.000211944,0.056803752
07/03/2014,LITB,-0.045154185,9.12,8.5,9.08,8.67,-0.063876652,0.004405286
07/03/2014,YGE,-0.013138686,7.15,6.58,6.85,6.76,-0.039416058,0.04379562
07/03/2014,SSI,0.07218319,25.1,22.57,22.719999,24.360001,-0.006602069,0.10475357
10/03/2014,COUP,-0.025973994,30.969999,29.790001,30.799999,30,-0.032792144,0.005519481
10/03/2014,KFY,-0.002041477,30.1,29.059999,29.389999,29.33,-0.011228309,0.024157912
10/03/2014,NES,-0.000555556,18.17,17.33,18,17.99,-0.037222222,0.009444444
10/03/2014,BIG,0.015864277,37.330002,36.119999,36.560001,37.139999,-0.012035065,0.021061296
10/03/2014,PANW,0.018877803,78.580002,76.199997,76.809998,78.260002,-0.007941687,0.023043927
11/03/2014,MNI,-0.040498442,6.49,6.14,6.42,6.16,-0.043613707,0.010903427
11/03/2014,OME,-0.016216216,13,12.53,12.95,12.74,-0.032432432,0.003861004
11/03/2014,NBG,-0.014732965,5.57,5.3,5.43,5.35,-0.023941068,0.025782689
11/03/2014,CQB,0.005867561,12.1,11.51,11.93,12,-0.035205365,0.01424979
